code,icao,name,city_code,country,city,state,county
AAA,NTGA,Anaa,AAA,PF,,,
AAB,YARY,Arrabury Airport,AAB,AU,Tanbar,Queensland,Barcoo Shire
AAC,HEAR,El Arish International Airport,AAC,EG,Arish,Muhafazat Shamal Sina',
AAD,HCAD,Adado Airport,AAD,SO,Adado,,
AAE,DABB,Les Salines Airport,AAE,DZ,El Hadjar,Annaba,
AAF,KAAF,Apalachicola Regional,AAF,US,Apalachicola,Florida,Franklin County
AAG,SSYA,Arapoti,AAG,BR,Jaguariaiva,Parana,Jaguariaiva
AAH,EDKA,Aachen/Merzbruck,AAH,DE,,,
AAI,SWRA,Arraias,AAI,BR,Campos Belos,Goias,Campos Belos
AAJ,SMCA,Cayana Airstrip,AAJ,SR,Kajana,Sipaliwini,Boven Suriname
AAK,NGUK,Aranuka,AAK,KI,,,
AAL,EKYT,Aalborg Airport,AAL,DK,Vadum,North Denmark,Alborg Kommune
AAM,FAMD,Mala Mala,AAM,ZA,,,
AAN,OMAL,Al Ain Airport,AAN,AE,,,
AAO,SVAN,Anaco,AAO,VE,Anaco,Anzoategui,Municipio Anaco
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,AAP,ID,,,
AAQ,URKA,Anapa Airport,AAQ,RU,Anapa,Krasnodarskiy,
AAR,EKAH,Aarhus Airport,AAR,DK,Ebeltoft,Central Jutland,Syddjurs Kommune
AAS,,Apalapsili,AAS,ID,,,
AAT,ZWAT,Altay Airport,AAT,CN,Awiytan,Xinjiang Uygur Zizhiqu,
AAU,NSAU,Asau,AAU,WS,Asau,Vaisigano,
AAV,RPMA,Allah Valley,AAV,PH,Surallah,South Cotabato,
AAW,OPAB,Abbottabad,AAW,PK,Abbottabad,Khyber Pakhtunkhwa,
AAX,SBAX,Araxa Airport,AAX,BR,Araxa,Minas Gerais,Araxa
AAY,OYGD,Al Ghaydah,AAY,YE,Al Ghayzah,Al Mahrah,Al Ghaydah
AAZ,MGQZ,Quetzaltenango,AAZ,GT,Olintepeque,Quetzaltenango,
ABA,UNAA,Abakan Airport,ABA,RU,Podsineye,Khakasiya,
ABB,DNAS,Asaba International Airport,ABB,NG,Asaba,,
ABC,LEAB,Los Llanos,ABC,ES,,,
ABD,OIAA,Abadan Airport,ABD,IR,Abadan,Khuzestan,
ABE,KABE,Lehigh Valley International Airport,ABE,US,Catasauqua,Pennsylvania,Lehigh County
ABF,NGAB,Abaiang,ABF,KI,Buota Village,Gilbert Islands,Tarawa
ABG,YABI,Abingdon,ABG,AU,,,
ABH,YAPH,Alpha,ABH,AU,,,
ABI,KABI,Abilene Regional Airport,ABI,US,,,
ABJ,DIAP,Felix Houphouet Boigny Airport,ABJ,CI,Abidjan,Lagunes,
ABK,HAKD,Kabri Dar,ABK,ET,,,
ABL,PAFM,Ambler Airport,ABL,US,,,
ABM,YNPE,Northern Peninsula Airport,ABM,AU,,,
ABN,SMBN,Albina,ABN,SR,,,
ABO,DIAO,Aboisso,ABO,CI,Aboisso,Sud-Comoe,
ABP,,Atkamba,ABP,PG,,,
ABQ,KABQ,Albuquerque International Sunport,ABQ,US,Albuquerque,New Mexico,Bernalillo County
ABR,KABR,Aberdeen Municipal Airport,ABR,US,Aberdeen,South Dakota,Brown County
ABS,HEBL,Abu Simbel,ABS,EG,,,
ABT,OEBA,Al-Aqiq Airport,ABT,SA,Al Bahah,Mintaqat al Bahah,
ABU,WATA,Haliwen Airport,ABU,ID,Atambua,East Nusa Tenggara,
ABV,DNAA,Nnamdi Azikiwe International Airport,ABV,NG,Madala,Abuja Federal Capital Territory,
ABW,,Abau,ABW,PG,,,
ABX,YMAY,Albury Airport,ABX,AU,East Albury,New South Wales,Albury Municipality
ABY,KABY,Southwest Georgia Regional Airport,ABY,US,,,
ABZ,EGPD,Aberdeen International Airport,ABZ,GB,Dyce,Scotland,Aberdeen City
ACA,MMAA,Acapulco International Airport,ACA,MX,10 de Abril,Guerrero,Acapulco de Juarez
ACB,KACB,Antrim County,ACB,US,Bellaire,Michigan,Antrim County
ACC,DGAA,Kotoka International Airport,ACC,GH,Accra,Greater Accra,
ACD,SKAD,Acandi,ACD,CO,,,
ACE,GCRR,Lanzarote Airport,ACE,ES,Tias,Canary Islands,Provincia de Las Palmas
ACF,ZWAL,Alaer Talimu Airport,ACF,CN,Aral,Xinjian Autonomous Region,
ACH,LSZR,Altenrhein Airport,ACH,CH,Rheineck,Saint Gallen,Wahlkreis Rheintal
ACI,EGJA,Alderney Airport,ACI,GB,Beaumont-Hague,Lower Normandy,Departement de la Manche
ACJ,VCCA,Anuradhapura,ACJ,LK,Anuradhapura,North Central,
ACK,KACK,Nantucket Memorial Airport,ACK,US,Nantucket,Massachusetts,Nantucket County
ACL,,Aguaclara,ACL,CO,Sabanalarga,Casanare,
ACM,,Arica,ACM,CO,Pebas,Loreto,Mariscal Ramon Castilla
ACN,MMCC,International,ACN,MX,,,
ACO,MRAF,Cobano Airport,ACO,CR,Cobano,Puntarenas Province,
ACP,OITM,Sahand,ACP,IR,Bonab,East Azerbaijan,
ACR,SKAC,Araracuara,ACR,CO,,,
ACS,UNKS,Achinsk,ACS,RU,Achinsk,Krasnoyarskiy,
ACT,KACT,Waco Municipal Airport,ACT,US,Gholson,Texas,McLennan County
ACU,,Achutupo,ACU,PA,Portobelo,Colon,Distrito Portobelo
ACV,KACV,Arcata-Eureka Airport,ACV,US,McKinleyville,California,Humboldt County
ACX,ZUYI,Xingyi Airport,ACX,CN,Xinzhou,Guangxi Zhuangzu Zizhiqu,
ACY,KACY,Atlantic City International Airport,AIY,US,Pomona,New Jersey,Atlantic County
ACZ,OIZB,Zabol Airport,ACZ,IR,Zabol,Sistan and Baluchestan,
ADA,LTAF,Adana Airport,ADA,TR,Seyhan,Adana,
ADB,LTBJ,Izmir Adnan Menderes Airport,IZM,TR,,,
ADC,AYAN,Andakombe,ADC,PG,,,
ADD,HAAB,Addis Ababa Bole International Airport,ADD,ET,Addis Ababa,Adis Abeba,
ADE,OYAA,International,ADE,YE,Khawr Maksar,Aden,Khur Maksar
ADF,LTCP,Adiyaman Airport,ADF,TR,Adiyaman,Adiyaman,
ADG,KADG,Lenawee County,ADG,US,Adrian,Michigan,Lenawee County
ADH,UEEA,Aldan,ADH,RU,Aldan,Sakha,
ADI,FYAR,Arandis,ADI,NA,Arandis,Erongo,
ADJ,OJAM,Marka International Airport,AMM,JO,Amman,Amman,
ADK,PADK,Adak Island Ns,ADK,US,,,
ADL,YPAD,Adelaide Airport,ADL,AU,Plympton,South Australia,City of West Torrens
ADM,KADM,Ardmore Municipal Airport,ADM,US,Dickson,Oklahoma,Carter County
ADN,SKAN,Andes,ADN,CO,Los Andes,Antioquia,
ADO,YAMK,Andamooka,ADO,AU,,,
ADP,VCCG,Ampara,ADP,LK,,,
ADQ,PADQ,Kodiak Benny Benson State Airport,ADQ,US,,,
ADR,KPHH,Andrews,ADR,US,Andrews,South Carolina,Williamsburg County
ADS,KADS,Addison Airport,DFW,US,Haltom City,Texas,Tarrant County
ADT,KADH,Ada Municipal,ADT,US,Ada,Oklahoma,Pontotoc County
ADU,OITL,Ardabil Airport,ADU,IR,Namin,Ardabil,
ADV,,El Daein,ADV,SD,El Daein,Eastern Darfur,
ADW,KADW,Andrews AFB,ADW,US,Andrews AFB,Maryland,Prince George's County
ADX,EGQL,Leuchars,ADX,GB,Leuchars,Scotland,Fife
ADY,FAAL,Alldays,ADY,ZA,,,
ADZ,SKSP,Gustavo Rojas Pinilla Airport,ADZ,CO,San Andres,"Archipielago de San Andres, Providencia y Santa Catalina",
AEA,NGTB,Abemama Atoll,AEA,KI,,,
AEB,ZGBS,Youjiang,AEB,CN,Tianzhou,Guangxi Zhuangzu Zizhiqu,
AED,,Aleneva,AED,US,,,
AEE,,Adareil Airport,AEE,SS,,,
AEG,WIME,Aek Godang,AEG,ID,Padangsidempuan,North Sumatra,
AEH,FTTC,Abéché,AEH,TD,Abeche,Ouaddai,
AEI,,Algeciras,AEI,ES,Algeciras,Andalusia,Provincia de Cadiz
AEK,AYAX,Aseki,AEK,PG,,,
AEL,KAEL,Albert Lea,AEL,US,Albert Lea,Minnesota,Freeborn County
AEM,UHTG,Amgu,AEM,RU,,,
AEO,GQNA,Aioun El Atrouss,AEO,MR,,,
AEP,SABE,Jorge Newbery Airport,BUE,AR,Colegiales,Buenos Aires F.D.,
AEQ,,Ar Horqin Airport,AEQ,CN,Tianshan,Inner Mongolia,
AER,URSS,Sochi International Airport,AER,RU,Orel-Izumrud,Krasnodarskiy,
AES,ENAL,Vigra Alesund Airport,AES,NO,Valderoy,More og Romsdal,Giske
AET,PFAL,Allakaket,AET,US,,,
AEU,OIBA,Abu Musa,AEU,IR,,,
AEX,KAEX,Alexandria International Airport,AEX,US,Alexandria,Louisiana,Rapides Parish
AEY,BIAR,Akureyri Airport,AEY,IS,Akureyri,Northeast,
AFA,SAMR,San Rafael Airport,AFA,AR,San Rafael,Mendoza,
AFD,FAPA,Port Alfred,AFD,ZA,,,
AFF,KAFF,USAF Academy Airstrip,COS,US,Cimarron Hills,Colorado,El Paso County
AFI,SKAM,Amalfi,AFI,CO,Amalfi,Antioquia,
AFK,,Ampara Kondavattavan Tank Airport,ADP,LK,Ampara,,
AFL,SBAT,Alta Floresta Airport,AFL,BR,,,
AFN,KAFN,Municipal,AFN,US,Jaffrey,New Hampshire,Cheshire County
AFO,KAFO,Municipal,AFO,US,Afton,Wyoming,Lincoln County
AFR,AYAF,Afore,AFR,PG,,,
AFS,UTSN,Zarafshan,AFS,UZ,Tomdibuloq,Navoiy,
AFT,AGAF,Afutara Aerodrome,AFT,SB,,,
AFW,KAFW,Fort Worth Alliance Airport,DFW,US,Haslet,Texas,Tarrant County
AFY,LTAH,Afyon,AFY,TR,Afyonkarahisar,Afyonkarahisar,
AFZ,OIMS,Sabzevar,AFZ,IR,Sabzevar,Razavi Khorasan,
AGA,GMAD,Agadir Al Massira Airport,AGA,MA,Inezgane,Souss-Massa-Draa,Inezgane-Ait Mellou
AGB,EDMA,Augsburg Airport,MUC,DE,Rehling,Bavaria,Swabia
AGC,KAGC,Allegheny County Airport,PIT,US,Pleasant Hills,Pennsylvania,Allegheny County
AGD,WASG,Anggi,AGD,ID,Warmare,West Papua,
AGE,EDWG,Flugplatz,AGE,DE,Wangerooge,Lower Saxony,
AGF,LFBA,La Garenne Airport,AGF,FR,Le Passage,Aquitaine,Departement du Lot-et-Garonne
AGG,,Angoram,AGG,PG,,,
AGH,ESTA,Angelholm Helsingborg Airport,AGH,SE,,,
AGI,SMWA,Wageningen,AGI,SR,Wageningen,Nickerie,
AGJ,RORA,Aguni,AGJ,JP,,,
AGK,,Kagua,AGK,PG,,,
AGL,AYWG,Wanigela,AGL,PG,,,
AGM,,Tasiilaq,AGM,GL,,,
AGN,PAGN,Angoon,AGN,US,,,
AGO,KAGO,Municipal,AGO,US,Magnolia,Arkansas,Columbia County
AGP,LEMG,Malaga Airport,AGP,ES,,,
AGQ,LGAG,Agrinion,AGQ,GR,Dhokimion,West Greece,Nomos Aitolias kai Akarnanias
AGR,VIAG,Kheria,AGR,IN,Agra,Uttar Pradesh,Agra
AGS,KAGS,Augusta Regional Airport,AGS,US,,,
AGT,SGES,Alejo Garcia Airport,AGT,PY,Colonia Yguazu,Alto Parana,
AGU,MMAS,Aguascalients International Airport,AGU,MX,Penuelas (El Cienegal),Aguascalientes,Aguascalientes
AGV,SVAC,Acarigua,AGV,VE,Araure,Portuguesa,Municipio Araure
AGW,,Agnew,AGW,AU,,,
AGX,VOAT,Agatti Island Airport,AGX,IN,Kavaratti,Laccadives,Lakshadweep
AGZ,FAAG,Aggeneys,AGZ,ZA,Pofadder,Northern Cape,Namakwa District Municipality
AHA,,Naha AFB,OKA,JP,,,
AHB,OEAB,Abha Regional Airport,AHB,SA,,,
AHC,KAHC,Amedee AAF,AHC,US,Janesville,California,Lassen County
AHD,,Downtown,ADM,US,Ardmore,Oklahoma,Carter County
AHE,NTHE,Ahe Airport,AHE,PF,,,
AHF,,Municipal,AHF,US,Arapahoe,Nebraska,Furnas County
AHG,,Agalega Island Airstrip,AHG,MU,,,
AHH,KAHH,Municipal,AHH,US,Amery,Wisconsin,Polk County
AHI,WAPA,Amahai,AHI,ID,Amahai,Maluku,
AHJ,ZUHY,Hongyuan Airport,AHJ,CN,Qiongxi,Sichuan,
AHL,SYAH,Aishalton,AHL,GY,,,
AHM,KS03,Sumner Parker Field,AHM,US,Ashland,Oregon,Jackson County
AHN,KAHN,Athens-Ben Epps,AHN,US,Winterville,Georgia,Clarke County
AHO,LIEA,Alghero-Fertilia Airport,AHO,IT,Alghero,Sardinia,Provincia di Sassari
AHS,MHAH,Ahuas,AHS,HN,Wawina,Gracias a Dios,
AHU,GMTA,Charif Al Idrissi Airport,AHU,MA,Imzourene,Taza-Al Hoceima-Taounate,
AHW,,Saih Rawl,AHW,OM,,,
AHY,,Ambatolahy,AHY,MG,,,
AHZ,LFHU,Alpe D Huez,AHZ,FR,Huez,Rhone-Alpes,Departement de l'Isere
AIA,KAIA,Alliance Airport,AIA,US,Alliance,Nebraska,Box Butte County
AIC,,Airok,AIC,MH,,,
AID,KAID,Municipal,AID,US,Anderson,Indiana,Madison County
AIE,AYAO,Aiome,AIE,PG,,,
AIF,SNAX,Assis,AIF,BR,Assis,Sao Paulo,Assis
AIG,FEFY,Yalinga,AIG,CF,,,
AIH,AYAK,Aiambak,AIH,PG,,,
AII,HDAS,Alisabieh,AII,DJ,'Ali Sabieh,Ali Sabieh,
AIK,KAIK,Municipal,AIK,US,Aiken,South Carolina,Aiken County
AIL,,Ailigandi,AIL,PA,Ailigandi,Guna Yala,
AIM,,Ailuk Island,AIM,MH,,,
AIN,PAWI,Wainwright,AIN,US,,,
AIO,KAIO,Municipal,AIO,US,Atlantic,Iowa,Cass County
AIP,VIAX,Ailinglapalap Island,AIP,MH,,,
AIR,SSOU,Aripuana,AIR,BR,,,
AIS,NGTR,Arorae Island,AIS,KI,Kulia Village,Niutao,
AIT,NCAI,Aitutaki Airport,AIT,CK,,,
AIU,NCAT,Atiu Island,AIU,CK,,,
AIV,KAIV,George Downer,AIV,US,Aliceville,Alabama,Pickens County
AIW,FYAA,Ai-ais,AIW,NA,,,
AIY,,Bader Field,AIY,US,,,
AIZ,KAIZ,Lee C Fine Memorial,AIZ,US,,,
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,AJA,FR,Ajaccio,Corsica,Departement de la Corse-du-Sud
AJF,OESK,Jouf Airport,AJF,SA,Sakaka,Al Jawf,
AJI,LTCO,Agri Airport,AJI,TR,Hamur,Agri,
AJJ,GQNJ,Akjoujt,AJJ,MR,Akjoujt,Inchiri,
AJK,OIHR,Araak,AJK,IR,Arak,Markazi,
AJL,VELP,Aizawl Airport,AJL,IN,Sairang,Mizoram,Aizawl
AJN,FMCV,Ouani,AJN,KM,Ouani,Anjouan,
AJR,ESNX,Arvidsjaur Airport,AJR,SE,Arvidsjaur,Norrbotten,Arvidsjaurs Kommun
AJS,,Abreojos,AJS,MX,Bahia Asuncion,Baja California Sur,Mulege
AJU,SBAR,Aracaju Airport,AJU,BR,Aracaju,Sergipe,Aracaju
AJY,DRZA,Agades,AJY,NE,Agadez,Agadez,
AKA,ZLAK,Ankang,AKA,CN,Ankang,Shaanxi,
AKB,PAAK,Atka,AKB,US,,,
AKC,KAKR,Fulton International,CAK,US,Sawyerwood,Ohio,Summit County
AKD,VAAK,Akola,AKD,IN,Akola,Maharashtra,Akola
AKE,FOGA,Akieni,AKE,GA,,,
AKF,HLKF,Kufrah,AKF,LY,Al Jawf,Al Kufrah,
AKG,AYGU,Anguganak,AKG,PG,,,
AKH,OEPS,Prince Sultan Air Base,AKH,SA,Ad Dilam,Ar Riyad,
AKI,PFAK,Akiak,AKI,US,,,
AKJ,RJEC,Asahikawa Airport,AKJ,JP,Asahikawa,Hokkaido,Asahikawa-shi
AKK,PAKH,Akhiok SPB,AKK,US,,,
AKL,NZAA,Auckland Airport,AKL,NZ,Mangere,Auckland,Auckland
AKM,,Zakouma,AKM,TD,,,
AKN,PAKN,King Salmon Airport,AKN,US,,,
AKO,KAKO,Colorado Plains Regional Airport,AKO,US,Akron,Colorado,Washington County
AKP,PAKP,Anaktuvuk,AKP,US,,,
AKQ,,Gunung Batin,AKQ,ID,Menggala,Lampung,
AKR,DNAK,Akure,AKR,NG,Owena,Ondo,
AKS,AGGA,Gwaunaru'u,AKS,SB,,,
AKT,LCRA,Raf Akrotiri,AKT,CY,Kolossi,Larnaka,
AKU,ZWAK,Aksu Airport,AKU,CN,,,
AKV,CYKO,Akulivik,AKV,CA,,,
AKW,OIAG,Aghajari,AKW,IR,Omidiyeh,Khuzestan,
AKX,UATT,Aktyubinsk Airport,AKX,KZ,Aqtobe,Aqtoebe,
AKY,VYSW,Civil Airport,AKY,MM,,,
ALA,UAAA,Almaty Airport,ALA,KZ,Pervomayskiy,Almaty Oblysy,
ALB,KALB,Albany International Airport,ALB,US,Colonie,New York,Albany County
ALC,LEAL,Alicante-Elche Airport,ALC,ES,,,
ALD,SPAR,Alerta,ALD,PE,,,
ALE,,Alpine,ALE,US,Alpine,Texas,Brewster County
ALF,ENAT,Alta Airport,ALF,NO,Alta,Finnmark Fylke,Alta
ALG,DAAG,Houari Boumediene Airport,ALG,DZ,Dar el Beida,Alger,
ALH,YABA,Albany Airport,ALH,AU,Albany,Western Australia,Albany
ALI,KALI,International,ALI,US,Alice,Texas,Jim Wells County
ALJ,FAAB,Alexander Bay Airport,ALJ,ZA,,,
ALK,,Asela,ALK,ET,Huruta,Oromiya,
ALL,LIMG,Albenga,ALL,IT,Albenga,Liguria,Provincia di Savona
ALM,KALM,Municipal,ALM,US,Boles Acres,New Mexico,Otero County
ALN,KALN,Alton,ALN,US,Bethalto,Illinois,Madison County
ALO,KALO,Waterloo Airport,ALO,US,Cedar Falls,Iowa,Black Hawk County
ALP,OSAP,Nejrab,ALP,SY,Aleppo,Aleppo,
ALQ,SSLT,Federal,ALQ,BR,Alegrete,Rio Grande do Sul,Alegrete
ALR,NZLX,Alexandra,ALR,NZ,,,
ALS,KALS,Alamosa Municipal Airport,ALS,US,Alamosa,Colorado,Alamosa County
ALT,SDWQ,Alenquer,ALT,BR,Alenquer,Para,Alenquer
ALU,HCMA,Alula,ALU,SO,Bereeda,Bari,
ALW,KALW,Walla Walla Airport,ALW,US,Walla Walla East,Washington,Walla Walla County
ALX,KALX,Thomas C Russell Field,ALX,US,Alexander City,Alabama,Tallapoosa County
ALY,HEAX,El Nohza,ALY,EG,,,
ALZ,,Alitak SPB,ALZ,US,,,
AMA,KAMA,Rick Husband Amarillo International Airport,AMA,US,,,
AMB,FMNE,Ambilobe,AMB,MG,Ambilobe,Diana,
AMC,FTTN,Am Timan,AMC,TD,Am Timan,Salamat,
AMD,VAAH,Ahmedabad Airport,AMD,IN,Naroda,Gujarat,Ahmadabad
AME,,Alto Molocue,AME,MZ,,,
AMF,AYAA,Ama,AMF,PG,,,
AMG,,Amboin,AMG,PG,,,
AMH,HAAM,Arba Mintch Airport,AMH,ET,Arba Minch',"Southern Nations, Nationalities, and People's Region",
AMI,WADA,Selaparang,AMI,ID,Mataram,West Nusa Tenggara,
AMJ,SNAR,Almenara,AMJ,BR,Almenara,Minas Gerais,Almenara
AMK,,Animas Airpark,DRO,US,,,
AML,,Puerto Armuellas,AML,PA,Puerto Armuelles,Chiriqui,
AMM,OJAI,Queen Alia International Airport,AMM,JO,Al Jizah,Amman,
AMN,KAMN,Gratiot Community,AMN,US,Alma,Michigan,Gratiot County
AMO,FTTU,Mao,AMO,TD,Mao,Kanem,
AMP,FMSY,Ampanihy,AMP,MG,Ampanihy,Atsimo-Andrefana,
AMQ,WAPP,Pattimura Airport,AMQ,ID,Amahusu,Maluku,
AMR,,Arno,AMR,MH,,,
AMS,EHAM,Amsterdam Airport Schiphol,AMS,NL,Aalsmeer,North Holland,Gemeente Aalsmeer
AMT,YAMT,Amata,AMT,AU,,,
AMU,AYAM,Amanab,AMU,PG,,,
AMV,ULDD,Amderma,AMV,RU,Vorgashor,Komi Republic,
AMW,KAMW,Ames,AMW,US,Ames,Iowa,Story County
AMX,YAMM,Ammaroo,AMX,AU,,,
AMY,,Ambatomainty,AMY,MG,,,
AMZ,NZAR,Ardmore,AMZ,NZ,Red Hill,Auckland,Auckland
ANA,HKOM,John Wayne International,ANA,US,Anaheim,California,Orange County
ANB,KANB,Anniston Metropolitan,ANB,US,Oxford,Alabama,Calhoun County
ANC,PANC,Ted Stevens Anchorage International Airport,ANC,US,,,
AND,KAND,Anderson,AND,US,Centerville,South Carolina,Anderson County
ANE,LFJR,Angers-Marce Airport,ANE,FR,,,
ANF,SCFA,Cerro Moreno International Airport,ANF,CL,Antofagasta,Antofagasta,Provincia de Antofagasta
ANG,LFBU,Brie-Champniers,ANG,FR,Champniers,Poitou-Charentes,Departement de la Charente
ANH,,Anuha Island Resort,ANH,SB,,,
ANI,PANI,Aniak Airport,ANI,US,,,
ANJ,FCBZ,Zanaga,ANJ,CG,,,
ANK,LTAD,Etimesgut,ANK,TR,Batikent,Ankara,
ANL,,Andulo,ANL,AO,Camacupa,Bie,
ANM,FMNH,Antsirabato,ANM,MG,Antalaha,Sava,
ANN,PANT,Annette Island,ANN,US,,,
ANO,FQAG,Angoche,ANO,MZ,,,
ANP,KANP,Lee,ANP,US,Annapolis,Maryland,Anne Arundel County
ANQ,KANQ,Tri-State Steuben County,ANQ,US,Angola,Indiana,Steuben County
ANR,EBAW,Antwerp International Airport,ANR,BE,Mortsel,Flanders,Provincie Antwerpen
ANS,SPHY,Andahuaylas,ANS,PE,San Jeronimo,Apurimac,Provincia de Andahuaylas
ANT,,St Anton,ANT,AT,Sankt Anton am Arlberg,Tyrol,Politischer Bezirk Landeck
ANU,TAPA,V.C. Bird International Airport,ANU,AG,Parham,Saint Peter,
ANV,PANV,Anvik Airport,ANV,US,,,
ANW,KANW,Ainsworth,ANW,US,Ainsworth,Nebraska,Brown County
ANX,ENAN,Andenes Airport,ANX,NO,Andenes,Nordland,Andoy
ANY,KANY,Anthony,ANY,US,Anthony,Kansas,Harper County
ANZ,,Angus Downs,ANZ,AU,,,
AOA,,Aroa,AOA,PG,,,
AOB,,Annanberg,AOB,PG,,,
AOC,EDAC,Altenburg Nobitz,AOC,DE,Altenburg,Thuringia,
AOD,,Abou Deia,AOD,TD,,,
AOE,LTBY,Anadolu University,ESK,TR,,,
AOG,ZYAS,Anshan Teng'ao Airport,AOG,CN,Anshan,Liaoning,Anshan Shi
AOH,KAOH,Allen County,AOH,US,Lima,Ohio,Allen County
AOI,LIPY,Ancona Falconara Airport,AOI,IT,Falconara Marittima,The Marches,Provincia di Ancona
AOJ,RJSA,Aomori Airport,AOJ,JP,,,
AOK,LGKP,Karpathos Airport,AOK,GR,Karpathos,South Aegean,Nomos Dodekanisou
AOL,SARL,Paso De Los Libres,AOL,AR,Paso de los Libres,Corrientes,Departamento de Paso de los Libres
AOM,OOAD,Adam Airport,AOM,OM,,,
AON,,Arona,AON,PG,,,
AOO,KAOO,Altoona Airport,AOO,US,Martinsburg,Pennsylvania,Blair County
AOP,SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport,AOP,PE,Alianza Cristiana,Loreto,Datem Del Maranon
AOR,WMKA,Sultan Abdul Halim Airport,AOR,MY,Jitra,Kedah,
AOS,AK81,Amook,AOS,US,,,
AOT,LIMW,Corrado Gex,AOT,IT,Chef-Lieu,Aosta Valley,Valle d'Aosta
AOU,VLAP,Attopeu,AOU,LA,Attapu,Attapu,
APA,KAPA,Centennial Airport,DEN,US,,,
APB,SLAP,Apolo,APB,BO,Mapiri,La Paz,
APC,KAPC,Napa County,APC,US,American Canyon,California,Napa County
APD,,Arung Palakka Airport,APD,ID,,,
APE,SPAO,San Juan Aposento,APE,PE,,,
APF,KAPF,Naples Municipal Airport,APF,US,Naples,Florida,Collier County
APG,KAPG,Phillips AAF,APG,US,Aberdeen,Maryland,Harford County
APH,KAPH,Camp A P Hill,APH,US,Bowling Green,Virginia,Caroline County
API,SKAP,Apiay,API,CO,Puerto Lopez,Meta,
APJ,ZUPL,Ngari Burang Airport,APJ,CN,Burang,Ngari Prefecture,Burang County
APK,NTGD,Apataki,APK,PF,,,
APL,FQNP,Nampula Airport,APL,MZ,Nampula,Nampula,
APN,KAPN,Alpena County Regional Airport,APN,US,Alpena,Michigan,Alpena County
APO,SKLC,Apartado Airport,APO,CO,Carepa,Antioquia,
APP,,Asapa,APP,PG,,,
APQ,SNAL,Arapiraca,APQ,BR,Arapiraca,Alagoas,Arapiraca
APR,AYPE,April River,APR,PG,,,
APS,SWNS,Anapolis,APS,BR,Anapolis,Goias,Anapolis
APT,KAPT,Marion County,APT,US,Powells Crossroads,Tennessee,Marion County
APU,SSAP,Apucarana,APU,BR,,,
APV,KAPV,Apple Valley,APV,US,Apple Valley,California,San Bernardino County
APW,NSFA,Faleolo Airport,APW,WS,Satapuala,A'ana,
APX,SSOG,Arapongas,APX,BR,Apucarana,Parana,Apucarana
APY,SNAI,Alto Parnaiba,APY,BR,Morros,Maranhao,Alto Parnaiba
APZ,SAHZ,Zapala,APZ,AR,Zapala,Neuquen,Departamento de Zapala
AQA,SBAQ,Araraquara,AQA,BR,Araraquara,Sao Paulo,Araraquara
AQB,MGQC,Quiche Airport,AQB,GT,Santa Cruz del Quiche,Quiche,
AQG,ZSAQ,Anqing Tianzhushan Airport,AQG,CN,Anqing,Anhui Sheng,
AQI,OEPA,Qaisumah Airport,AQI,SA,Al Qaysumah,Eastern Province,
AQJ,OJAQ,King Hussein International Airport,AQJ,JO,Aqaba,Aqaba,
AQM,SJOG,Ariquemes,AQM,BR,Ariquemes,Rondonia,Ariquemes
AQP,SPQU,Rodriguez Ballon International Airport,AQP,PE,Arequipa,Arequipa,Provincia de Arequipa
AQS,NFBG,Saqani,AQS,FJ,,,
AQY,,Alyeska,AQY,US,,,
ARA,KARA,Acadiana Regional,ARA,US,Cade,Louisiana,Saint Martin Parish
ARB,KARB,Municipal,ARB,US,Ann Arbor,Michigan,Washtenaw County
ARC,PARC,Arctic Village,ARC,US,,,
ARD,WATM,Alor Island Airport,ARD,ID,Sifala,East Nusa Tenggara,
ARE,TJAB,Arecibo,ARE,PR,Bajadero,Arecibo,
ARF,,Acaricuara,ARF,CO,,,
ARG,KARG,Walnut Ridge,ARG,US,Walnut Ridge,Arkansas,Lawrence County
ARH,ULAA,Talagi Airport,ARH,RU,Arkhangel'sk,Arkhangelskaya,
ARI,SCAR,Chacalluta Airport,ARI,CL,Arica,Arica y Parinacota,Provincia de Arica
ARJ,WAJA,Arso,ARJ,ID,Arso,Papua,
ARK,HTAR,Arusha Airport,ARK,TZ,Arusha,Arusha,
ARL,DFER,Arly,ARL,BF,,,
ARM,YARM,Armidale Airport,ARM,AU,Armidale,New South Wales,Armidale Dumaresq
ARN,ESSA,Stockholm Arlanda Airport,STO,SE,Marsta,Stockholm,Sigtuna Kommun
ARO,,Arboletas,ARO,CO,Arboletes,Antioquia,
ARP,,Aragip,ARP,PG,,,
ARQ,SKAT,Arauquita,ARQ,CO,Arauquita,Arauca,
ARR,SAVR,Alto Rio Senguerr,ARR,AR,Alto Rio Senguer,Chubut,
ARS,SJVO,Aragarcas,ARS,BR,Aragarcas,Goias,Aragarcas
ART,KART,Watertown Airport,ART,US,Dexter,New York,Jefferson County
ARU,SBAU,Aracatuba Airport,ARU,BR,Aracatuba,Sao Paulo,Aracatuba
ARV,KARV,Noble F. Lee,ARV,US,Lac du Flambeau,Wisconsin,Vilas County
ARW,LRAR,Arad,ARW,RO,Arad,Arad,
